ID,Type,Message,Performed By,Occurred At
183366427,story_update_activity,yao049 edited this feature,yao049,2022-09-23T20:29:31Z
183366427,story_create_activity,yao049 added this feature,yao049,2022-09-23T20:14:59Z
183346636,story_update_activity,Yuting Zhang edited this feature,Yuting Zhang,2022-09-22T03:49:22Z
183346636,story_update_activity,Yuting Zhang edited this feature,Yuting Zhang,2022-09-22T03:44:05Z
183346636,story_update_activity,Yuting Zhang edited this feature,Yuting Zhang,2022-09-22T03:44:02Z
183346636,story_update_activity,Yuting Zhang edited this feature,Yuting Zhang,2022-09-22T03:43:22Z
183346636,story_move_activity,Yuting Zhang moved this story,Yuting Zhang,2022-09-22T03:41:53Z
183346636,story_move_activity,Yuting Zhang moved and scheduled this story,Yuting Zhang,2022-09-22T00:26:49Z
2599395,project_membership_update_activity,Shawn updated their profile,Shawn,2022-09-22T00:26:24Z
183346636,story_move_activity,Yuting Zhang moved this story,Yuting Zhang,2022-09-22T00:26:17Z
183346636,comment_create_activity,"Yuting Zhang added comment: ""what info should a project include?
""",Yuting Zhang,2022-09-22T00:25:48Z
183346636,story_update_activity,Yuting Zhang edited this feature,Yuting Zhang,2022-09-22T00:23:11Z
23874932,label_create_activity,"Yuting Zhang created labels: ""project management""",Yuting Zhang,2022-09-22T00:23:10Z
